Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C13, C4, C5",C0603,4,10uF,C18800
"C10, C11",C0603,2,22p,C105620
"C12, C2, C3, C6, C7, C8",C0402,6,0.1uF,C60474
C9,C0402,1,1uF,C14445
D1,Diode SOD-123FL_L2.7-W1.8-LS3.8-RD,1,RB161MM-20,C123070
F1,Fuse 0603,1,500mA,C2844464
"J1, J6",FFCｺﾈｸﾀ_FPC-SMD_P0.50-8P_FGS-XJ-H2.0,2,Conn_01x8_Pin + 2,C262264
J3,USB-C-SMD_TYPE-C-6PIN-2MD-073,1,USB_C_Receptacle_USB2.0,C2765186
R1,R0603,1,37.4k,C163425
"R10, R11",R0603,2,22,C23345
R2,R0603,1,63.4k,C163422
"R3, R4, R6, R7",R0603,4,10k,C25804
R5,R0603,1,39,C23154
"R8, R9",R0603,2,5.1k,C23186
"SW0, SW1",SW-TH_L6.2-W6.2-P5.00,2,SW_PUSH,C400268
SW13,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,1,SW_RESET,C318884
U2,TPS73601DBVR C59200,1,TPS73601DBV,C59200
"U3, U4",TXS0102DCUR C53434,2,TXS0102DCU,C53434
U5,PMW3360,1,PMW3360DM-T2QU,
U6,ATMEGA32U4-MU VQFN-44_L7.0-W7.0-P0.50-BL-EP5.2,1,ATmega32U4-M,C112161
Y1,Crystals ROHS 16MHz OSC-SMD_4P-L3.2-W2.5-BL,1,16MHz,C13738
