Designator,Mid X,Mid Y,Rotation,Layer
C1,121.683,-122.0,180.0,top
C10,121.633,-115.5,180.0,top
C11,121.633,-109.2,180.0,top
C12,113.783,-106.9,180.0,top
C2,121.683,-124.0,180.0,top
C3,121.683,-130.0,180.0,top
C4,121.683,-132.0,180.0,top
C5,134.183,-129.6,270.0,top
C6,132.383,-129.555,270.0,top
C7,121.683,-133.9,180.0,top
C8,114.083,-102.0,180.0,top
C9,121.388,-107.6,0.0,top
J1,122.683,-83.75,90.0,top
J2,132.483,-95.2,0.0,top
J3,128.683,-60.475,180.0,top
J4,94.54,-79.0,180.0,top
J5,156.223,-121.0,90.0,top
R1,121.683,-126.0,180.0,top
R10,121.43,-70.29,0.0,top
R11,121.383,-68.39,0.0,top
R2,121.683,-128.0,180.0,top
R3,126.583,-131.047,270.0,top
R4,128.383,-131.047,270.0,top
R5,127.233,-126.2,180.0,top
R6,145.933,-113.9,180.0,top
R7,128.386,-80.8,180.0,top
R8,121.436,-72.19,0.0,top
R9,121.43,-66.49,0.0,top
SW0,113.217,-114.0,270.0,top
SW1,113.1,-85.428,270.0,top
SW10,155.854,-93.455,270.0,top
SW11,155.513,-83.29,236.875,top
SW12,90.54,-102.982,180.0,top
SW13,130.283,-75.79,0.0,top
SW2,90.54,-83.782,0.0,top
SW3,102.983,-85.952,330.0,top
SW4,75.645,-98.846,90.0,top
SW5,100.797,-106.519,0.0,top
SW6,88.809,-123.275,325.0,top
SW7,81.912,-132.038,15.0,top
SW8,154.577,-131.161,270.0,top
SW9,154.611,-110.931,270.0,top
U2,121.683,-118.69,180.0,top
U3,128.233,-115.4,0.0,top
U4,128.233,-121.6,0.0,top
U5,136.683,-117.985,180.0,top
U6,120.183,-100.5,0.0,top
Y1,121.733,-112.175,0.0,top
