Designator,Mid X,Mid Y,Rotation,Layer
C1,121.683,-122.0,180.0,top
C10,121.633,-115.5,180.0,top
C11,121.633,-109.2,180.0,top
C12,113.783,-106.9,180.0,top
C13,128.6,-80.2,0.0,top
C2,121.683,-124.0,180.0,top
C3,121.683,-130.0,180.0,top
C4,121.683,-132.0,180.0,top
C5,143.6,-127.6,0.0,top
C6,141.6,-129.3,180.0,top
C7,121.683,-133.9,180.0,top
C8,114.083,-102.0,180.0,top
C9,121.388,-107.6,0.0,top
D1,128.5,-76.9,0.0,top
F1,128.5,-74.1,180.0,top
J1,124.36,-85.95,90.0,top
J3,128.683,-60.475,180.0,top
J6,132.85,-131.74,180.0,top
R1,121.683,-126.0,180.0,top
R10,121.43,-70.29,0.0,top
R11,121.383,-68.39,0.0,top
R2,121.683,-128.0,180.0,top
R3,124.8,-133.1,90.0,top
R4,126.6,-133.1,90.0,top
R5,127.233,-126.2,180.0,top
R6,145.933,-113.9,180.0,top
R7,126.8,-93.853,90.0,top
R8,121.436,-72.19,0.0,top
R9,121.43,-66.49,0.0,top
SW0,113.217,-114.0,270.0,top
SW1,113.1,-85.428,270.0,top
SW13,132.2,-94.3,0.0,top
U2,121.683,-118.69,180.0,top
U3,128.233,-115.4,0.0,top
U4,128.233,-121.6,0.0,top
U5,136.683,-117.985,180.0,top
U6,120.183,-100.5,0.0,top
Y1,121.733,-112.175,0.0,top
