Designator,Mid X,Mid Y,Rotation,Layer
C1,181.0,-71.71,0.0,top
C2,181.0,-73.71,0.0,top
C3,191.0,-73.71,0.0,top
C4,195.7,-71.71,0.0,top
C5,158.0,-72.0,180.0,top
C6,158.0,-74.5,180.0,top
C7,158.0,-81.0,0.0,top
D1,138.0,-96.0,0.0,top
D10,158.0,-120.0,0.0,top
D11,168.0,-120.0,0.0,top
D12,178.0,-120.0,0.0,top
D13,189.0,-120.0,0.0,top
D14,200.0,-120.0,0.0,top
D2,147.225,-96.0,0.0,top
D3,158.0,-96.0,0.0,top
D4,163.0,-104.0,90.0,top
D5,178.0,-96.0,0.0,top
D6,188.0,-96.0,0.0,top
D7,199.0,-96.0,0.0,top
D8,137.0,-120.0,0.0,top
D9,148.0,-120.0,0.0,top
R1,191.0,-71.71,0.0,top
R2,195.7,-73.71,0.0,top
R3,189.93,-56.97,0.0,top
R4,190.0,-65.0,0.0,top
R5,175.0,-71.97,270.0,top
R6,158.0,-79.0,0.0,top
RESET1,187.0,-39.0,0.0,top
SW1,137.5,-91.0,0.0,top
SW10,157.5,-115.0,0.0,top
SW11,167.5,-115.0,0.0,top
SW12,177.5,-115.0,0.0,top
SW13,188.5,-115.0,0.0,top
SW14,199.5,-115.0,0.0,top
SW15,176.0,-104.0,270.0,top
SW2,147.5,-91.0,0.0,top
SW3,157.5,-91.0,0.0,top
SW4,158.0,-104.225,0.0,top
SW5,177.5,-91.0,0.0,top
SW6,188.0,-91.0,0.0,top
SW7,198.5,-91.0,0.0,top
SW8,137.0,-115.0,0.0,top
SW9,147.5,-115.0,0.0,top
U1,167.0,-48.98675,270.0,top
U2,185.85,-72.71,0.0,top
U3,185.89,-56.87,90.0,top
U4,185.91,-64.9,90.0,top
U5,167.17,-75.0,0.0,top
