Designator,Mid X,Mid Y,Rotation,Layer
C1,121.723,-121.6,180.0,top
C10,121.673,-115.1,180.0,top
C11,121.673,-108.8,180.0,top
C12,113.823,-106.5,180.0,top
C2,121.723,-123.6,180.0,top
C3,121.723,-129.6,180.0,top
C4,121.723,-131.6,180.0,top
C5,134.223,-129.2,270.0,top
C6,132.423,-129.155,270.0,top
C7,121.723,-133.5,180.0,top
C8,114.123,-101.6,180.0,top
C9,121.428,-107.2,0.0,top
J1,122.723,-83.35,90.0,top
J2,132.523,-94.8,0.0,top
J3,128.723,-60.075,180.0,top
J4,94.58,-78.6,180.0,top
J5,156.263,-120.6,90.0,top
R1,121.723,-125.6,180.0,top
R10,121.47,-69.89,0.0,top
R11,121.423,-67.99,0.0,top
R2,121.723,-127.6,180.0,top
R3,126.623,-130.647,270.0,top
R4,128.423,-130.647,270.0,top
R5,127.273,-125.8,180.0,top
R6,145.973,-113.5,180.0,top
R7,128.426,-80.4,180.0,top
R8,121.476,-71.79,0.0,top
R9,121.47,-66.09,0.0,top
SW0,113.257,-113.6,270.0,top
SW1,113.14,-85.028,270.0,top
SW10,155.894,-93.055,270.0,top
SW11,155.553,-82.89,236.875,top
SW12,90.58,-102.582,180.0,top
SW13,130.323,-75.39,0.0,top
SW2,90.58,-83.382,0.0,top
SW3,103.023,-85.552,330.0,top
SW4,75.685,-98.446,90.0,top
SW5,100.837,-106.119,0.0,top
SW6,88.849,-122.875,325.0,top
SW7,81.952,-131.638,15.0,top
SW8,154.617,-130.761,270.0,top
SW9,154.651,-110.531,270.0,top
U2,121.723,-118.29,180.0,top
U3,128.273,-115.0,0.0,top
U4,128.273,-121.2,0.0,top
U5,136.723,-117.585,180.0,top
U6,120.223,-100.1,0.0,top
Y1,121.773,-111.775,0.0,top
