Designator,Footprint,Quantity,Value,LCSC Part #
BOOT,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,1,BOOT,C318884
"C1, C4, C5",0402,3,10uF,C15525
"C14, C15",1206,2,10uF,C13585
"C16, C17, C18, C19, C2, C20, C21, C22, C23, C24, C27, C3, C6, C7",0402,14,100nF,C1525
"C25, C26, C28",0402,3,2.2uF,C12530
"C8, C9",0603,2,30pF,C1658
F2,0603,1,Fuse,C187605
"J1, J6",FFCｺﾈｸﾀ_FPC-SMD_P0.50-8P_FGS-XJ-H2.0,2,Conn_01x8_Pin + 2,C262264
J3,USB-C-SMD_TYPE-C-6PIN-2MD-073,1,USB_C_Receptacle_USB2.0,C2765186
R1,0402,1,37.4k,C25888
"R10, R11",0402,2,27,C25100
"R13, R15",0402,2,1k,C11702
"R14, R3, R4, R6",0402,4,10k,C25744
R2,0402,1,63.4k,C38606
R5,0402,1,39,C185420
"R8, R9",0402,2,5.1k,C25905
RST,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,1,RESET,C318884
SD1,1N5819WS_C191023,1,SD1,C191023
"SW0, SW1",SW-TH_L6.2-W6.2-P5.00,2,SW_PUSH,C400268
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U2,TPS73601DBVR C59200,1,TPS73601DBV,C59200
"U3, U4",TXS0102DCUR C53434,2,TXS0102DCU,C53434
U5,PMW3360,1,PMW3360DM-T2QU,C20612443
U7,SOT-223,1,NCP1117-3.3_SOT223,C6186
U8,W25Q128JVSIQ_C97521,1,U8,C97521
Y1,X322512MSB4SI_C9002,1,Y1,C9002
