Designator,Mid X,Mid Y,Rotation,Layer
BOOT,113.6,-125.8,90.0,top
C1,120.0,-119.0,180.0,top
C14,136.1,-77.4,270.0,top
C15,136.1,-72.0,90.0,top
C16,126.4,-100.4,0.0,top
C17,126.4,-99.3,0.0,top
C18,113.5,-97.2,180.0,top
C19,113.5,-96.0,180.0,top
C2,120.0,-120.5,180.0,top
C20,113.5,-94.8,180.0,top
C21,111.6,-92.0,90.0,top
C22,112.8,-92.0,90.0,top
C23,114.0,-92.0,90.0,top
C24,115.2,-92.0,90.0,top
C25,126.4,-101.5,0.0,top
C26,116.4,-92.0,90.0,top
C27,135.6,-93.0,0.0,top
C28,136.8,-95.8,0.0,top
C3,123.5,-122.1,180.0,top
C4,123.52,-123.4,180.0,top
C5,144.4,-121.1,0.0,top
C6,144.4,-123.9,0.0,top
C7,123.5,-124.7,180.0,top
C8,112.7,-109.2,0.0,top
C9,113.8,-103.0,90.0,top
F2,133.0,-71.7,270.0,top
J1,126.1185,-86.3,90.0,top
J3,128.683,-60.475,180.0,top
J6,154.5815,-122.2,270.0,top
R1,123.5,-120.8,180.0,top
R10,122.6,-67.2,0.0,top
R11,122.1,-66.0,0.0,top
R13,125.2,-105.3,0.0,top
R14,125.2,-104.1,0.0,top
R15,111.4,-103.6,90.0,top
R2,123.5,-118.3,0.0,top
R3,123.5,-126.0,180.0,top
R4,123.5,-127.3,180.0,top
R5,128.2,-124.5,180.0,top
R6,144.3,-115.5,90.0,top
R8,129.9,-66.0,90.0,top
R9,121.5,-64.8,0.0,top
RST,125.4,-133.3,0.0,top
SD1,132.4,-75.9,180.0,top
SW0,113.217,-114.0,270.0,top
SW1,113.1,-85.428,270.0,top
U1,118.9,-99.1,270.0,top
U2,121.2,-115.7,180.0,top
U3,128.2,-114.1,180.0,top
U4,128.2,-120.7,0.0,top
U5,136.683,-117.985,180.0,top
U7,142.0,-73.5,0.0,top
U8,128.9,-94.5,270.0,top
Y1,112.7,-106.5,0.0,top
